Frequency 	Vpreamp
0.135518941235104	-23.4583540987886
0.135768806413909	-23.4419992068022
0.136019132285567	-23.4256430551263
0.136269919699487	-23.4092856395689
0.136521169506645	-23.3929269558268
0.136772882559585	-23.3765669995821
0.137025059712425	-23.3602057664879
0.137277701820855	-23.3438432521372
0.137530809742145	-23.3274794523177
0.137784384335145	-23.3111143625338
0.138038426460288	-23.294747978445
0.138292936979594	-23.2783802956978
0.138547916756672	-23.2620113098862
0.138803366656723	-23.2456410164459
0.139059287546545	-23.2292694111718
0.13931568029453	-23.2128964894003
0.139572545770677	-23.1965222467616
0.139829884846584	-23.1801466788078
0.140087698395458	-23.1637697809633
0.140345987292118	-23.147391548793
0.140604752412991	-23.1310119777026
0.140863994636126	-23.1146310633046
0.141123714841185	-23.0982488007442
