Frequency 	Vout
0.135518941235104	-22.2144412960587
0.135768806413909	-22.1980864039512
0.136019132285567	-22.1817302521537
0.136269919699487	-22.1653728364743
0.136521169506645	-22.1490141526097
0.136772882559585	-22.132654196242
0.137025059712425	-22.1162929630247
0.137277701820855	-22.0999304485499
0.137530809742145	-22.0835666486062
0.137784384335145	-22.0672015586975
0.138038426460288	-22.0508351744835
0.138292936979594	-22.0344674916106
0.138547916756672	-22.0180985056732
0.138803366656723	-22.0017282121062
0.139059287546545	-21.985356606705
0.13931568029453	-21.968983684806
0.139572545770677	-21.9526094420393
0.139829884846584	-21.936233873957
0.140087698395458	-21.9198569759836
0.140345987292118	-21.903478743684
0.140604752412991	-21.8870991724636
0.140863994636126	-21.8707182579352
0.141123714841185	-21.8543359952439
0.141383913909456	-21.8379523802354
